ISO,UBID,context
bra,290120505000042,116
bra,261260405000024,118
bra,420130705000047,118
bra,420130705000045,118
bra,431410005050010,118
bra,352430305000115,118
bra,430165105000004,118
bra,420910205000608,118
bra,355030830000597,116
bra,350490905000016,118
bra,354425105000040,118
bra,350760505000232,118
bra,354425105000044,118
bra,231120710000005,118
bra,261110105090007,116
bra,313130705000021,116
bra,316280705000022,116
bra,170105105000007,118
bra,170040005000012,118
bra,410965805000010,118
bra,410965805000014,118
bra,330455705390055,118
bra,221100105000068,118
bra,230100005000033,118
bra,431710305000074,118
bra,431130405000058,116
bra,351500405000303,118
bra,355030881000210,118
bra,430860705000047,118
bra,292665705000018,118
bra,292665705000019,118
bra,520735205000008,118
bra,354080405000014,118
bra,412810405000031,118
bra,350230905000021,118
bra,350230905000022,118
bra,350230905000023,116
bra,350230905000026,118
bra,290420905000025,118
bra,351770305000031,118
bra,315180005000234,118
bra,420240405000414,118
bra,311860110080004,118
bra,420240405000410,118
bra,420240405000412,118
bra,352770205000005,118
bra,230565405000027,118
bra,230565405000026,118
bra,230565405000028,116
bra,150815905000072,118
bra,150815905000070,118
bra,220830405000030,116
bra,316940605000031,118
bra,353490605000025,118
bra,353490605000026,118
bra,353490605000027,118
bra,314800405000146,118
bra,351500405000251,118
bra,353410405000008,118
bra,330630505000462,116
bra,210990805000060,118
bra,420730415000027,118
bra,350410705000006,118
bra,431413405000004,118
bra,355030825000303,118
bra,310080705000004,118
bra,352725605000003,118
bra,352725605000007,116
bra,520350005000031,118
bra,520350005000035,118
bra,430460605000521,118
bra,432300235000084,118
bra,355280905000059,118
bra,500370240000002,118
bra,510130805000035,116
bra,510130805000034,118
bra,510130805000037,118
bra,530010805300158,118
bra,310620005670378,118
bra,290300305000027,118
bra,290300305000026,118
bra,290300305000025,116
bra,290300305000024,118
bra,354990405000757,118
bra,312160520000004,116
bra,354990405000758,118
bra,312120920000003,118
bra,355020905000011,116
bra,420940905000047,118
bra,431490205000604,118
bra,140005005000016,118
bra,140005005000013,118
bra,430107305000013,118
bra,420770005000018,118
bra,250610305000015,118
bra,350320805000048,118
bra,311840305000029,118
